Customer_ID,Age,Gender,Location,Previous_Purchases,Preferred_Payment_Method,Frequency_of_Purchases,Intent,Time_of_Day,Device_Type,Browsing_History,Weather,Purchase_History,Social_Media_Activity,Device_Engagement_Level,Sentiment_Analysis,Brand_Affinities,Survey_Responses,Preferred_Product_Category,Session Duration (Seconds),Scroll Depth (%),Ad Interaction History,Subscription Status,Users Risk Tolerance,Decision Making Speed,Marital / Relationship Status,Family Size,Friends Referrals & Social Influence,Local Events/Trends,Purchase Timing Patterns,Household Income Patterns
25,26,F,Miami,"Fashion, Beauty",Apple Pay,Monthly,Negative,Night,Mobile,"Fashion blogs, Makeup tutorials",Windy,"Fashion, Beauty",Medium,Low,Relaxed,"Sephora, Zara","Fashion-forward, Beauty enthusiast",Furniture,195,25,Ignored,Subscribed,Medium,Moderate,Widowed,3,8,Community Gathering,Afternoon,Affluent
26,45,M,Seattle,"Outdoor Gear, Camping Supplies",Credit Card,Weekly,Positive,Morning,Laptop,"Camping forums, Adventure blogs",Rainy,"Outdoor Gear, Camping Supplies",Medium,High,Adventurous,"REI, North Face","Outdoor explorer, Nature lover","Books, media",896,84,Viewed,Unsubscribed,High,Slow,Widowed,1,5,Concert,Holiday Afternoon,Middle
27,33,F,San Francisco,"Concert Tickets, Merchandise",Debit Card,Monthly,Positive,Afternoon,Mobile,"Music forums, Fan pages",Foggy,"Concert Tickets, Merchandise",High,Medium,Inspired,"Live Nation, Spotify","Music fan, Event-goer","Beauty, Haircut",744,40,Viewed,Unsubscribed,Medium,Slow,Married,1,2,None,Late Night,High
28,27,M,Austin,"Gaming Consoles, Accessories",PayPal,Weekly,Positive,Evening,PC,"Gaming forums, Streaming sites",Clear,"Gaming Consoles, Accessories",High,High,Excited,"Sony, Microsoft","Gamer, Tech-savvy",Travel,321,85,Skipped,Free User,High,Slow,Single,2,8,None,Afternoon,Affluent
29,50,F,Boston,"Home Decor, Kitchenware",Credit Card,Monthly,Negative,Morning,Tablet,"DIY blogs, Recipe sites",Snowy,"Home Decor, Kitchenware",Medium,Medium,Content,"IKEA, Williams Sonoma","Home chef, Interior decorator",Restaurant,518,58,Skipped,Free User,Medium,Slow,Single,1,13,Community Gathering,Holiday Late Night,Low
30,31,M,Denver,"Outdoor Gear, Apparel",Apple Pay,Weekly,Positive,Afternoon,Mobile,"Hiking forums, Adventure blogs",Sunny,"Outdoor Gear, Apparel",High,High,Adventurous,"Patagonia, REI","Outdoor enthusiast, Nature lover",Groceries,387,72,Clicked,Unsubscribed,Low,Moderate,Divorced,1,3,Community Gathering,Afternoon,Middle
31,22,F,New York,"Makeup, Skincare",Credit Card,Weekly,Positive,Evening,Mobile,"Beauty tutorials, Instagram",Sunny,"Makeup, Skincare",High,Medium,Optimistic,"Fenty, Glossier","Trendsetter, Beauty enthusiast",Electronics,896,37,Ignored,Premium Member,Low,Slow,Divorced,1,13,None,Weekend Afternoon,Affluent
32,38,M,San Jose,"Smart Home Devices, Electronics",PayPal,Monthly,Neutral,Afternoon,Laptop,"Tech news, Home automation",Cloudy,"Smart Home Devices, Electronics",Medium,High,Inquisitive,"Google, Amazon","Tech guru, Early adopter",Home Goods,152,60,Viewed,Unsubscribed,High,Fast,In a Relationship,3,11,None,Evening,Middle
33,27,F,Charlotte,"Fitness Apparel, Yoga Mats",Debit Card,Daily,Positive,Morning,Mobile,"Yoga blogs, Wellness podcasts",Rainy,"Fitness Apparel, Yoga Mats",High,High,Motivated,"Lululemon, Alo Yoga","Wellness advocate, Yoga lover","Books, media",97,56,Ignored,Subscribed,Medium,Fast,In a Relationship,2,15,Community Gathering,Holiday Late Night,Affluent
34,42,M,Columbus,"Home Improvement Tools, Paint",Credit Card,Weekly,Positive,Evening,Tablet,"DIY forums, Home blogs",Sunny,"Home Improvement Tools, Paint",Low,Medium,Determined,"Home Depot, Lowe's","DIY enthusiast, Home renovator",Restaurant,372,20,Ignored,Premium Member,High,Fast,In a Relationship,1,7,Community Gathering,Holiday Afternoon,High
35,25,F,Nashville,"Concert Tickets, Music Gear",Apple Pay,Monthly,Negative,Night,Mobile,"Concert vlogs, Music blogs",Windy,"Concert Tickets, Music Gear",Medium,Low,Relaxed,"Live Nation, Fender","Music lover, Concert goer","Apparel, accessories",325,66,Clicked,Unsubscribed,High,Slow,In a Relationship,5,14,Festival,Weekend Afternoon,High
21,24,F,New York,"Books, Electronics",Credit Card,Weekly,Positive,Evening,Mobile,"Book blogs, Tech forums",Sunny,"Books, Electronics",High,Medium,Positive,"Amazon, Apple","Tech-savvy, Avid reader","Toys, Games",188,86,Skipped,Premium Member,High,Moderate,Single,1,13,Festival,Holiday Morning,Affluent
22,35,M,Los Angeles,"Fitness Gear, Apparel",PayPal,Monthly,Neutral,Afternoon,Laptop,"Workout forums, Health sites",Cloudy,"Fitness Gear, Apparel",Medium,High,Content,"Nike, Adidas","Health-conscious, Active lifestyle","Apparel, accessories",88,58,Ignored,Unsubscribed,Low,Moderate,Divorced,1,4,Community Gathering,Weekend Evening,Low
23,29,F,Chicago,"Groceries, Household Items",Debit Card,Daily,Positive,Morning,Mobile,"Recipe blogs, DIY sites",Rainy,"Groceries, Household Items",High,High,Excited,"Whole Foods, Target","Eco-conscious, Home cook",Home Goods,635,20,Clicked,Unsubscribed,Low,Moderate,Married,4,13,Concert,Holiday Afternoon,Low
24,40,M,Houston,"Tech Gadgets, Tools",Credit Card,Weekly,Positive,Evening,Tablet,"Tech blogs, DIY forums",Sunny,"Tech Gadgets, Tools",Low,Medium,Curious,"Apple, Bosch","Tech enthusiast, DIY lover",Electronics,203,18,Clicked,Free User,Medium,Fast,Divorced,4,0,None,Weekend Afternoon,Affluent
25,26,F,Miami,"Fashion, Beauty",Apple Pay,Monthly,Negative,Night,Mobile,"Fashion blogs, Makeup tutorials",Windy,"Fashion, Beauty",Medium,Low,Relaxed,"Sephora, Zara","Fashion-forward, Beauty enthusiast",Auto Care,553,25,Viewed,Premium Member,Medium,Slow,Divorced,2,1,Community Gathering,Weekend Late Night,Middle
26,45,M,Seattle,"Outdoor Gear, Camping Supplies",Credit Card,Weekly,Positive,Morning,Laptop,"Camping forums, Adventure blogs",Rainy,"Outdoor Gear, Camping Supplies",Medium,High,Adventurous,"REI, North Face","Outdoor explorer, Nature lover","Books, media",333,16,Ignored,Unsubscribed,Medium,Moderate,In a Relationship,3,12,Sports Event,Morning,Low
27,33,F,San Francisco,"Concert Tickets, Merchandise",Debit Card,Monthly,Positive,Afternoon,Mobile,"Music forums, Fan pages",Foggy,"Concert Tickets, Merchandise",High,Medium,Inspired,"Live Nation, Spotify","Music fan, Event-goer","Beauty, Haircut",623,42,Viewed,Subscribed,High,Slow,Divorced,5,15,Sports Event,Holiday Morning,Affluent
28,27,M,Austin,"Gaming Consoles, Accessories",PayPal,Weekly,Positive,Evening,PC,"Gaming forums, Streaming sites",Clear,"Gaming Consoles, Accessories",High,High,Excited,"Sony, Microsoft","Gamer, Tech-savvy",Travel,819,98,Ignored,Free User,High,Slow,Single,3,2,Festival,Late Night,Middle
29,50,F,Boston,"Home Decor, Kitchenware",Credit Card,Monthly,Negative,Morning,Tablet,"DIY blogs, Recipe sites",Snowy,"Home Decor, Kitchenware",Medium,Medium,Content,"IKEA, Williams Sonoma","Home chef, Interior decorator",Fragrances,258,42,Skipped,Premium Member,Medium,Moderate,Single,1,9,Concert,Holiday Evening,Middle
30,31,M,Denver,"Outdoor Gear, Apparel",Apple Pay,Weekly,Positive,Afternoon,Mobile,"Hiking forums, Adventure blogs",Sunny,"Outdoor Gear, Apparel",High,High,Adventurous,"Patagonia, REI","Outdoor enthusiast, Nature lover",Groceries,55,98,Ignored,Premium Member,Low,Fast,Divorced,4,8,Festival,Afternoon,Affluent
31,22,F,New York,"Makeup, Skincare",Credit Card,Weekly,Positive,Evening,Mobile,"Beauty tutorials, Instagram",Sunny,"Makeup, Skincare",High,Medium,Optimistic,"Fenty, Glossier","Trendsetter, Beauty enthusiast",Electronics,473,76,Ignored,Premium Member,Low,Fast,Married,5,11,None,Weekend Evening,Low
32,38,M,San Jose,"Smart Home Devices, Electronics",PayPal,Monthly,Neutral,Afternoon,Laptop,"Tech news, Home automation",Cloudy,"Smart Home Devices, Electronics",Medium,High,Inquisitive,"Google, Amazon","Tech guru, Early adopter",Home Goods,707,17,Clicked,Unsubscribed,Low,Moderate,Divorced,2,1,Community Gathering,Weekend Morning,Low
33,27,F,Charlotte,"Fitness Apparel, Yoga Mats",Debit Card,Daily,Positive,Morning,Mobile,"Yoga blogs, Wellness podcasts",Rainy,"Fitness Apparel, Yoga Mats",High,High,Motivated,"Lululemon, Alo Yoga","Wellness advocate, Yoga lover","Books, media",669,22,Ignored,Unsubscribed,Low,Slow,In a Relationship,2,1,Concert,Holiday Evening,High
34,42,M,Columbus,"Home Improvement Tools, Paint",Credit Card,Weekly,Positive,Evening,Tablet,"DIY forums, Home blogs",Sunny,"Home Improvement Tools, Paint",Low,Medium,Determined,"Home Depot, Lowe's","DIY enthusiast, Home renovator",Restaurant,383,39,Clicked,Premium Member,Medium,Slow,In a Relationship,3,12,Community Gathering,Evening,Affluent
35,25,F,Nashville,"Concert Tickets, Music Gear",Apple Pay,Monthly,Negative,Night,Mobile,"Concert vlogs, Music blogs",Windy,"Concert Tickets, Music Gear",Medium,Low,Relaxed,"Live Nation, Fender","Music lover, Concert goer","Apparel, accessories",104,86,Ignored,Free User,Low,Fast,Widowed,3,5,Sports Event,Morning,Low
36,29,M,Portland,"Coffee Beans, Brewing Equipment",Credit Card,Weekly,Positive,Morning,Mobile,"Coffee blogs, Roaster websites",Rainy,"Coffee Beans, Brewing Equipment",High,High,Focused,"Starbucks, Blue Bottle","Coffee enthusiast, Home barista",Home Goods,673,84,Clicked,Premium Member,High,Fast,Single,4,0,None,Holiday Morning,High
37,48,F,Oklahoma City,"Gardening Supplies, Plants",PayPal,Monthly,Neutral,Afternoon,Tablet,"Gardening forums, Plant websites",Sunny,"Gardening Supplies, Plants",Medium,Medium,Calm,"Home Depot, Lowe's","Gardener, Nature lover","Apparel, accessories",98,25,Ignored,Premium Member,High,Fast,Single,3,19,Sports Event,Evening,Low
38,31,M,New Orleans,"Cookware, Spices",Debit Card,Daily,Positive,Evening,Mobile,"Recipe websites, Cooking shows",Clear,"Cookware, Spices",High,High,Excited,"Le Creuset, Williams Sonoma","Home chef, Foodie",Groceries,771,44,Skipped,Unsubscribed,Medium,Moderate,Divorced,4,18,Community Gathering,Holiday Evening,Low
39,26,F,Raleigh,"Board Games, Puzzles",Credit Card,Weekly,Positive,Night,PC,"Board game forums, Toy websites",Cloudy,"Board Games, Puzzles",High,Medium,Engaged,"Hasbro, Ravensburger","Game enthusiast, Social gamer","Toys, Games",512,46,Viewed,Free User,Low,Slow,Divorced,2,18,Concert,Holiday Evening,Affluent
40,52,M,Virginia Beach,"Fishing Gear, Boating Supplies",Apple Pay,Monthly,Negative,Morning,Mobile,"Fishing forums, Outdoor websites",Windy,"Fishing Gear, Boating Supplies",Medium,Low,Relaxed,"Bass Pro Shops, West Marine","Fisherman, Outdoor enthusiast","Books, media",123,52,Skipped,Free User,Medium,Fast,Divorced,4,11,Community Gathering,Evening,Affluent
41,34,F,Atlanta,"Running Shoes, Sports Apparel",Credit Card,Weekly,Positive,Afternoon,Mobile,"Running blogs, Fitness websites",Sunny,"Running Shoes, Sports Apparel",High,High,Motivated,"Nike, Adidas","Runner, Fitness advocate","Apparel, accessories",646,85,Clicked,Unsubscribed,Low,Fast,Divorced,5,15,None,Morning,Affluent
42,28,M,Minneapolis,"Winter Gear, Ski Equipment",PayPal,Monthly,Neutral,Evening,Laptop,"Ski forums, Outdoor websites",Snowy,"Winter Gear, Ski Equipment",Medium,Medium,Prepared,"REI, North Face","Skier, Outdoor enthusiast",Auto Care,414,33,Viewed,Premium Member,Medium,Fast,Married,2,3,Sports Event,Afternoon,Affluent
43,37,F,Tampa,"Swimwear, Beach Accessories",Debit Card,Daily,Positive,Morning,Mobile,"Fashion blogs, Beach websites",Clear,"Swimwear, Beach Accessories",High,High,Excited,"Victoria's Secret, Billabong","Beachgoer, Fashion-forward","Beauty, Haircut",814,65,Ignored,Free User,High,Fast,Married,3,9,Sports Event,Holiday Evening,High
44,45,M,St. Louis,"Power Tools, Hardware",Credit Card,Weekly,Positive,Afternoon,Tablet,"DIY forums, Home improvement websites",Cloudy,"Power Tools, Hardware",Low,Medium,Focused,"DeWalt, Milwaukee","DIY enthusiast, Home renovator",Electronics,113,50,Ignored,Unsubscribed,Medium,Slow,Divorced,1,10,Community Gathering,Weekend Afternoon,High
45,30,F,Baltimore,"Pet Supplies, Toys",Apple Pay,Monthly,Negative,Night,Mobile,"Pet blogs, Online pet stores",Rainy,"Pet Supplies, Toys",Medium,Low,Content,"PetSmart, Chewy","Pet owner, Animal lover",Home Goods,411,47,Skipped,Subscribed,High,Moderate,Widowed,5,10,Community Gathering,Holiday Afternoon,Low
46,23,M,San Antonio,"Video Games, Consoles",Credit Card,Weekly,Positive,Evening,PC,"Gaming forums, Streaming sites",Sunny,"Video Games, Consoles",High,High,Excited,"Sony, Microsoft","Gamer, Tech-savvy","Toys, Games",36,19,Ignored,Premium Member,Medium,Moderate,Single,5,12,Festival,Holiday Morning,Low
47,55,F,San Diego,"Books, Magazines",PayPal,Monthly,Neutral,Morning,Tablet,"Book blogs, News websites",Foggy,"Books, Magazines",Medium,Medium,Relaxed,"Amazon, Barnes & Noble","Avid reader, News follower","Books, media",438,87,Ignored,Free User,Low,Moderate,In a Relationship,4,10,None,Weekend Afternoon,Low
48,39,M,Jacksonville,"Golf Clubs, Equipment",Debit Card,Daily,Positive,Afternoon,Mobile,"Golf forums, Sporting goods websites",Clear,"Golf Clubs, Equipment",High,High,Focused,"TaylorMade, Callaway","Golfer, Sports enthusiast","Apparel, accessories",549,30,Clicked,Premium Member,High,Slow,Single,3,4,Concert,Holiday Afternoon,Middle
49,27,F,Indianapolis,"Jewelry, Accessories",Credit Card,Weekly,Positive,Night,Mobile,"Fashion blogs, Jewelry websites",Cloudy,"Jewelry, Accessories",High,Medium,Elegant,"Tiffany & Co., Pandora","Fashion-forward, Jewelry lover","Beauty, Haircut",881,22,Clicked,Subscribed,High,Slow,In a Relationship,2,18,Festival,Weekend Afternoon,Middle
50,41,M,San Francisco,"Bicycles, Cycling Gear",Apple Pay,Monthly,Negative,Morning,Laptop,"Cycling forums, Outdoor websites",Rainy,"Bicycles, Cycling Gear",Medium,Low,Determined,"Trek, Specialized","Cyclist, Outdoor enthusiast",Auto Care,440,50,Skipped,Premium Member,Low,Moderate,In a Relationship,2,19,Festival,Holiday Morning,Low
Customer_ID,Age,Gender,Location,Previous_Purchases,Preferred_Payment_Method,Frequency_of_Purchases,Intent,Time_of_Day,Device_Type,Browsing_History,Weather,Purchase_History,Social_Media_Activity,Device_Engagement_Level,Sentiment_Analysis,Brand_Affinities,Survey_Responses,Preferred_Product_Category,458,92,Viewed,Premium Member,Low,Slow,Widowed,1,18,Concert,Late Night,Low
51,43,F,Fresno,"Skincare Products, Organic Makeup",Debit Card,Daily,Positive,Morning,Mobile,"Beauty blogs, Natural product websites",Sunny,"Skincare Products, Organic Makeup",High,High,Radiant,"Origins, Lush","Natural beauty enthusiast, Eco-conscious","Beauty, Haircut",88,97,Clicked,Premium Member,Medium,Slow,Widowed,1,18,Concert,Late Night,Middle
52,29,M,Sacramento,"Camping Gear, Hiking Boots",Credit Card,Weekly,Positive,Afternoon,Laptop,"Outdoor gear reviews, Adventure blogs",Cloudy,"Camping Gear, Hiking Boots",Medium,Medium,Adventurous,"Columbia, Merrell","Outdoor adventurer, Nature lover",Travel,494,89,Skipped,Subscribed,High,Moderate,Divorced,4,12,Concert,Late Night,Low
53,36,F,Kansas City,"Party Supplies, Decorations",Apple Pay,Monthly,Neutral,Evening,Tablet,"Party planning websites, DIY decor blogs",Rainy,"Party Supplies, Decorations",Medium,Low,Creative,"Party City, Michaels","Event planner, DIY enthusiast",Home Goods,206,25,Clicked,Unsubscribed,Medium,Slow,Widowed,4,8,Festival,Holiday Morning,Affluent
54,25,M,Mesa,"Gaming Accessories, Streaming Equipment",PayPal,Weekly,Positive,Night,PC,"Twitch streams, Gaming gear forums",Clear,"Gaming Accessories, Streaming Equipment",High,High,Engaged,"Razer, Logitech","Gamer, Streamer",Electronics,183,84,Skipped,Unsubscribed,High,Slow,Widowed,3,5,Community Gathering,Holiday Afternoon,Affluent
55,58,F,Colorado Springs,"Antique Furniture, Vintage Decor",Credit Card,Monthly,Negative,Morning,Mobile,"Antique store websites, Vintage decor blogs",Windy,"Antique Furniture, Vintage Decor",Medium,Medium,Nostalgic,"Etsy vintage, Local antique shops","Vintage collector, Decor enthusiast",Home Goods,195,40,Ignored,Free User,Medium,Slow,Widowed,1,2,Concert,Weekend Morning,Middle
56,31,M,Reno,"Motorcycle Gear, Riding Accessories",Debit Card,Daily,Positive,Afternoon,Mobile,"Motorcycle forums, Gear review websites",Sunny,"Motorcycle Gear, Riding Accessories",High,High,Thrilled,"Harley-Davidson, RevZilla","Motorcycle enthusiast, Rider",Auto Care,896,85,Ignored,Free User,High,Slow,Married,1,8,None,Holiday Late Night,High
57,47,F,Albuquerque,"Cooking Classes, Gourmet Food",Apple Pay,Weekly,Positive,Evening,Tablet,"Cooking shows, Gourmet food blogs",Cloudy,"Cooking Classes, Gourmet Food",High,Medium,Satisfied,"Sur La Table, Williams Sonoma","Foodie, Culinary enthusiast",Restaurant,744,58,Viewed,Unsubscribed,Medium,Moderate,Single,2,13,None,Evening,Affluent
58,28,M,Long Beach,"Surfboards, Beachwear",PayPal,Monthly,Neutral,Morning,Laptop,"Surfing forums, Beachwear websites",Rainy,"Surfboards, Beachwear",Medium,Low,Relaxed,"Quiksilver, Roxy","Surfer, Beach lover","Apparel, accessories",321,72,Viewed,Premium Member,Low,Slow,Single,1,3,Community Gathering,Holiday Morning,Low
59,39,F,Virginia Beach,"Fitness Trackers, Smartwatches",Credit Card,Weekly,Positive,Night,Mobile,"Tech blogs, Fitness app reviews",Clear,"Fitness Trackers, Smartwatches",High,Medium,Motivated,"Fitbit, Apple Watch",Tech-savvy fitness enthusiast,Electronics,518,37,Skipped,Unsubscribed,Low,Fast,Divorced,1,13,Community Gathering,Morning,Middle
60,26,M,Omaha,"Comic Books, Graphic Novels",Debit Card,Daily,Positive,Afternoon,Mobile,"Comic book forums, Graphic novel reviews",Sunny,"Comic Books, Graphic Novels",High,High,Enthralled,"Marvel, DC Comics","Comic book fan, Graphic novel reader","Books, media",387,60,Skipped,Subscribed,High,Fast,Divorced,1,11,None,Afternoon,Affluent
61,51,F,Oakland,"Essential Oils, Aromatherapy",Apple Pay,Monthly,Negative,Morning,Tablet,"Wellness blogs, Aromatherapy websites",Foggy,"Essential Oils, Aromatherapy",Medium,Medium,Calm,"Young Living, doTERRA","Wellness advocate, Natural living enthusiast","Beauty, Haircut",896,56,Clicked,Premium Member,Medium,Fast,In a Relationship,3,15,None,Holiday Afternoon,Middle
